Macrotrends Data Download,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"DISCLAIMER AND TERMS OF USE: HISTORICAL DATA IS PROVIDED ""AS IS"" AND SOLELY",,,,,,,,,,,,,,
FOR INFORMATIONAL PURPOSES - NOT FOR TRADING PURPOSES OR ADVICE.,,,,,,,,,,,,,,
NEITHER MACROTRENDS LLC NOR ANY OF OUR INFORMATION PROVIDERS WILL BE LIABLE,,,,,,,,,,,,,,
FOR ANY DAMAGES RELATING TO YOUR USE OF THE DATA PROVIDED.,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
"ATTRIBUTION: Proper attribution requires clear indication of the data source as ""www.macrotrends.net"".",,,,,,,,,,,,,,
"A ""dofollow"" backlink to the originating page is also required if the data is displayed on a web page.",,,,,,,,,,,,,,
,,,,,,,,,,,,,,
,,,,,,,,,,,,,,
date, value,ln(st/st-1),,,,,,,,,,,,
2/9/2010,1068,-0.006997929,,,,,,,,,,,,
2/10/2010,1075.5,-0.003712301,,,,,,,,,,,,
2/11/2010,1079.5,0.001158614,,,,,,,,,,,,
2/12/2010,1078.25,-0.019516174,,,,,,,,,,,,
2/15/2010,1099.5,-0.014223064,,,,,,,,,,,,
2/16/2010,1115.25,-0.002686368,,,,,,,,,,,,
2/17/2010,1118.25,0.011467242,,,,,,,,,,,,
2/18/2010,1105.5,-0.001355932,,,,,,,,,,,,
2/19/2010,1107,-0.011451792,,,,,,,,,,,,
2/22/2010,1119.75,0.00694525,,,,,,,,,,,,
2/23/2010,1112,0.017233987,,,,,,,,,,,,
2/24/2010,1093,0.000228754,,,,,,,,,,,,
2/25/2010,1092.75,-0.01791228,,,,,,,,,,,,
2/26/2010,1112.5,-0.004260574,,,,,,,,,,,,
3/1/2010,1117.25,0.001119445,,,,,,,,,,,,
3/2/2010,1116,-0.017982503,,,,,,,,,,,,
3/3/2010,1136.25,0,,,,,,,,,,,,
3/4/2010,1136.25,0.001100716,,,,,,,,,,,,
3/5/2010,1135,0.000881446,,,,,,,,,,,,
3/8/2010,1134,0.01242252,,,,,,,,,,,,
3/9/2010,1120,-0.004009807,,,,,,,,,,,,
3/10/2010,1124.5,0.016588589,,,,,,,,,,,,
3/11/2010,1106,-0.011462088,,,,,,,,,,,,
3/12/2010,1118.75,0.013272043,,,,,,,,,,,,
3/15/2010,1104,-0.008343717,,,,,,,,,,,,
3/16/2010,1113.25,-0.016039551,,,,,,,,,,,,
3/17/2010,1131.25,0.007542183,,,,,,,,,,,,
3/18/2010,1122.75,0.001113958,,,,,,,,,,,,
3/19/2010,1121.5,0.015500703,,,,,,,,,,,,
3/22/2010,1104.25,0.003174606,,,,,,,,,,,,
3/23/2010,1100.75,0.006151062,,,,,,,,,,,,
3/24/2010,1094,0.000457143,,,,,,,,,,,,
3/25/2010,1093.5,-0.004106782,,,,,,,,,,,,
3/26/2010,1098,-0.011995165,,,,,,,,,,,,
3/29/2010,1111.25,0.001350743,,,,,,,,,,,,
3/30/2010,1109.75,0.000225301,,,,,,,,,,,,
3/31/2010,1109.5,-0.005841401,,,,,,,,,,,,
4/1/2010,1116,-0.007142888,,,,,,,,,,,,
4/6/2010,1124,-0.008195859,,,,,,,,,,,,
4/7/2010,1133.25,-0.011624212,,,,,,,,,,,,
4/8/2010,1146.5,-0.008251947,,,,,,,,,,,,
4/9/2010,1156,-0.006466934,,,,,,,,,,,,
4/12/2010,1163.5,0.012323148,,,,,,,,,,,,
4/13/2010,1149.25,-0.008448009,,,,,,,,,,,,
4/14/2010,1159,0.006709256,,,,,,,,,,,,
4/15/2010,1151.25,-0.00498214,,,,,,,,,,,,
4/16/2010,1157,0.025827656,,,,,,,,,,,,
4/19/2010,1127.5,-0.013216051,,,,,,,,,,,,
4/20/2010,1142.5,-0.001093494,,,,,,,,,,,,
4/21/2010,1143.75,-0.000437063,,,,,,,,,,,,
4/22/2010,1144.25,0.003721138,,,,,,,,,,,,
4/23/2010,1140,-0.012205906,,,,,,,,,,,,
4/26/2010,1154,0.001517615,,,,,,,,,,,,
4/27/2010,1152.25,-0.01036055,,,,,,,,,,,,
4/28/2010,1164.25,-0.004926646,,,,,,,,,,,,
4/29/2010,1170,-0.004477142,,,,,,,,,,,,
4/30/2010,1175.25,-0.007628772,,,,,,,,,,,,
5/4/2010,1184.25,0.010397972,,,,,,,,,,,,
5/5/2010,1172,-0.005106394,,,,,,,,,,,,
5/6/2010,1178,-0.018170083,,,,,,,,,,,,
5/7/2010,1199.6,0.009506531,,,,,,,,,,,,
5/10/2010,1188.25,-0.017311935,,,,,,,,,,,,
5/11/2010,1209,-0.026325365,,,,,,,,,,,,
5/12/2010,1241.25,0.005047966,,,,,,,,,,,,
5/13/2010,1235,-0.003031837,,,,,,,,,,,,
